ECTRL ID,Sequence Number,Time Over,Flight Level,Latitude,Longitude,Delay Time Over,Dev Flight Level,Dev Longitude,Dev Latitude,ground_speed,vertical_speed,heading,pitch
IBE789,11,0:00:00,370,44.98,0.15556,0,-20,0,0,442.228488,0,-2.505018523,0
IBE789,12,0:03:06,370,44.67695,-0.15306,0,-20,0,0,434.4141157,0,-2.514185159,0
IBE789,13,0:08:05,370,44.2,-0.69028,0,-20,0,0,442.4488467,0,-2.460991614,0
IBE789,14,0:17:21,370,43.25389,-1.56639,0,-20,0,0,442.5473398,0,-2.546555659,0
IBE789,15,0:21:41,370,42.73389,-1.70195,0,-20,0,0,440.0785036,0,-2.952369715,0
IBE789,16,0:25:52,370,42.27195,-2.01111,0,-20,0,0,443.5793451,0,-2.681405728,0
IBE789,17,0:32:52,390,41.47361,-2.53333,0,0,0,0,456.9943506,2.821344914,-2.685281887,0.006173619
IBE789,18,0:34:10,390,41.32361,-2.63,0,0,0,0,461.6873485,0,-2.690729067,0
IBE789,19,0:36:46,390,40.98028,-2.59917,0,0,0,0,476.7855641,0,3.073904082,0
IBE789,20,0:41:26,390,40.37195,-2.54472,0,0,0,0,470.6791883,0,3.073503691,0
IBE789,21,0:49:19,390,39.39917,-3.02778,0,0,0,0,475.70251,0,-2.774830782,0
IBE789,22,0:52:36,390,39,-3.22139,0,0,0,0,467.878682,0,-2.780986545,0
IBE789,23,0:59:27,390,38.1525,-3.625,0,57,0,0,475.5875891,0,-2.782980618,0
IBE789,24,1:06:09,220,37.56833,-4.33195,0,26,-0.70112,0.17611,434.4093799,-25.05522722,-2.375180192,-0.057612706
IBE789,25,1:09:38,145,37.19778,-4.35278,0,-13,-0.72778,0.08195,383.6001997,-21.26133129,-3.096844772,-0.055369105
IBE789,26,1:10:50,140,37.13417,-4.47083,0,95,-0.36194,0.54806,340.9093568,-4.114461333,-2.164732957,-0.012068491
IBE789,27,1:14:11,140,37.06556,-4.87889,0,125,-0.50056,0.47945,357.6777709,0,-1.776412981,0
IBE789,28,1:15:35,107,36.92945,-4.83806,0,107,-0.33889,0.25445,360.1435743,-23.27609554,2.906229492,-0.064540283
IBE789,29,1:17:48,70,36.77278,-4.72639,0,70,-7.27417,-12.23694,293.1149782,-16.48259397,2.622669375,-0.056173362
IBE789,30,1:21:41,0,36.675,-4.49917,0,0,-7.04695,-12.33472,191.7582498,-17.79990139,2.062332644,-0.092559461
VG456,11,0:38:31,350,44.78445,2.83722,0,20,-0.015,1.00389,498.7300954,2.252784913,3.130386826,0.004517012
VG456,12,0:40:50,350,44.45445,2.84222,0,58,-0.025,1.70389,513.1801879,0,3.130777748,0
VG456,13,0:45:32,350,43.78056,2.85222,0,102,0.02,1.32917,516.5472252,0,3.130878969,0
VG456,14,0:52:48,319,42.75056,2.86722,0,216,0.2325,1.11056,510.6468286,-4.212604448,3.130898555,-0.008249359
VG456,15,0:55:18,250,42.45139,2.83222,0,150,0.1975,0.81139,432.6897733,-27.25419187,-3.055482836,-0.062904732
