"ECTRL ID","Sequence Number","Time Over","Flight Level","Latitude","Longitude"
184409764,0,"01-03-2015 05:55:00",0,49.00972,2.54778
184409764,1,"01-03-2015 06:16:00",0,49.00972,2.54778
184409764,2,"01-03-2015 06:18:32",74,48.98417,2.34639
184409764,3,"01-03-2015 06:21:04",125,48.96445,1.99806
184409764,4,"01-03-2015 06:24:02",193,48.65389,1.99417
184409764,5,"01-03-2015 06:24:36",204,48.58722,1.99611
184409764,6,"01-03-2015 06:27:10",245,48.295,2.00361
184409764,7,"01-03-2015 06:28:52",267,48.08333,2.00972
184409764,8,"01-03-2015 06:32:25",318,47.63333,2.03639
184409764,9,"01-03-2015 06:36:07",364,47.20667,1.79028
184409764,10,"01-03-2015 06:48:16",370,45.81583,1.02556
184409764,11,"01-03-2015 06:56:42",370,44.98,0.15556
184409764,12,"01-03-2015 06:59:48",370,44.67695,-0.15306
184409764,13,"01-03-2015 07:04:47",370,44.2,-0.69028
184409764,14,"01-03-2015 07:14:03",370,43.25389,-1.56639
184409764,15,"01-03-2015 07:18:23",370,42.73389,-1.70195
184409764,16,"01-03-2015 07:22:34",370,42.27195,-2.01111
184409764,17,"01-03-2015 07:29:34",390,41.47361,-2.53333
184409764,18,"01-03-2015 07:30:52",390,41.32361,-2.63
184409764,19,"01-03-2015 07:33:28",390,40.98028,-2.59917
184409764,20,"01-03-2015 07:38:08",390,40.37195,-2.54472
184409764,21,"01-03-2015 07:46:01",390,39.39917,-3.02778
184409764,22,"01-03-2015 07:49:18",390,39,-3.22139
184409764,23,"01-03-2015 07:56:09",390,38.1525,-3.625
184409764,24,"01-03-2015 08:02:51",220,37.56833,-4.33195
184409764,25,"01-03-2015 08:06:20",145,37.19778,-4.35278
184409764,26,"01-03-2015 08:07:32",140,37.13417,-4.47083
184409764,27,"01-03-2015 08:10:53",140,37.06556,-4.87889
184409764,28,"01-03-2015 08:12:17",107,36.92945,-4.83806
184409764,29,"01-03-2015 08:14:30",70,36.77278,-4.72639
184409764,30,"01-03-2015 08:18:23",0,36.675,-4.49917
184410592,0,"01-03-2015 06:40:00",0,49.00972,2.54778
184410592,1,"01-03-2015 06:58:00",0,49.00972,2.54778
184410592,2,"01-03-2015 07:00:26",67,48.98417,2.34639
184410592,3,"01-03-2015 07:03:01",125,48.96445,1.99806
184410592,4,"01-03-2015 07:06:03",188,48.65389,1.99417
184410592,5,"01-03-2015 07:06:37",198,48.59195,2.03111
184410592,6,"01-03-2015 07:09:26",239,48.29083,2.20945
184410592,7,"01-03-2015 07:11:19",250,48.08333,2.25972
184410592,8,"01-03-2015 07:15:15",296,47.585,2.29111
184410592,9,"01-03-2015 07:20:32",330,46.84028,2.3375
184410592,10,"01-03-2015 07:26:27",330,45.99806,2.81806
184410592,11,"01-03-2015 07:35:13",350,44.78445,2.83722
184410592,12,"01-03-2015 07:37:32",350,44.45445,2.84222
184410592,13,"01-03-2015 07:42:14",350,43.78056,2.85222
184410592,14,"01-03-2015 07:49:30",319,42.75056,2.86722
184410592,15,"01-03-2015 07:52:00",250,42.45139,2.83222
184410592,16,"01-03-2015 07:59:50",99,41.64,2.63472
184410592,17,"01-03-2015 08:04:45",30,41.38111,2.325
184410592,18,"01-03-2015 08:09:32",0,41.29695,2.07833
